elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when""",
date," ""14 years old"""," """""," """""," """""," """""," """""," """""," """""," ""1733""",
date," ""1749"""," """""," """""," """""," """""," """""," """""," """""," ""1749""",
date," ""1755"""," """""," """""," """""," """""," """""," """""," """""," ""1755""",
date," ""1789"""," """""," """""," """""," """""," """""," """""," """""," ""1789""",
date," ""Aug. 11th 1795"""," ""death"""," """""," """""," """""," """""," """""," """""," ""1795-08-11""",
date," ""Aug. 5th 1719"""," ""birth"""," """""," """""," """""," """""," """""," """""," ""1719-08-05""",
date," ""Oct. 12th 1748"""," """""," """""," """""," """""," """""," """""," """""," ""1748-10-12""",
name," ""H Comn"""," """""," """""," """""," """""," ""communion"""," """""," """""," """"",
name," ""cloth maker"""," """""," ""clothmaker"""," """""," """""," """""," """""," """""," """"",
name," ""depressed him greatly"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",
name," ""married"""," """""," """""," """""," """""," ""marriage"""," """""," """""," """"",
name," ""received"""," """""," """""," """""," """""," ""reception"""," """""," """""," """"",
name," ""strength declined visibly"""," """""," """""," """""," ""disease"""," """""," """""," """""," """"",
name," ""the infirmities of age"," & increasing bodily weakness"""," """""," """""," """""," ""disease"""," """""," """""," """""," """""
name," ""thus he fell gently & happily asleep in the Lord"""," """""," """""," """""," """""," ""death"""," """""," """""," """"",
name," ""to become a member"""," """""," """""," """""," """""," ""reception"""," """""," """""," """"",
name," ""uneasy about the state of my soul"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brns Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Srs"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Christ"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Elizabeth"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""John Nelson"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""John Sheard"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Mr Wesley"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Timothy Gray"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Wm Ellis"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Birkenshaw"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Birkenshaw"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Fulneck"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Hopton"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Mirfield"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""North Owram"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Wyke"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Wyke"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Wyke"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""heaven"""," ""biblical"""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""parish of Halifax"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""single Brns choir house"""," """""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Brs"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Lord"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Lord"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Lord"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""diety"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Svar"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
