elementName," ""elementContent"""," ""typeAttributeIfPresent"""," ""occupation"""," ""office"""," ""health"""," ""event"""," ""ceremony"""," ""calendar"""," ""when""",
date," ""1779"""," """""," """""," """""," """""," """""," """""," """""," ""1779""",
date," ""1799"""," """""," """""," """""," """""," """""," """""," """""," ""1799""",
date," ""18 years"""," """""," """""," """""," """""," """""," """""," """""," ""1765""",
date," ""2 yrs old"""," """""," """""," """""," """""," """""," """""," """""," ""1749""",
date," ""23rd year"""," """""," """""," """""," """""," """""," """""," """""," ""1770""",
date," ""Ap 8th 1812"""," """""," """""," """""," """""," """""," """""," """""," ""1812-04-08""",
date," ""April 12th 1773"""," """""," """""," """""," """""," """""," """""," """""," ""1773-04-12""",
date," ""Decr 8th 1776"""," """""," """""," """""," """""," """""," """""," """""," ""1776-12-08""",
date," ""June 26th 1747"""," ""birth"""," """""," """""," """""," """""," """""," """""," ""1747-06-26""",
date," ""June 28th 1783"""," """""," """""," """""," """""," """""," """""," """""," ""1783-06-28""",
name," ""Children's meetings"""," """""," """""," """""," """""," ""religious"""," """""," """""," """"",
name," ""H Comn"""," """""," """""," """""," """""," ""communion"""," """""," """""," """"",
name," ""H Comn."""," """""," """""," """""," """""," ""communion"""," """""," """""," """"",
name," ""H. Comn"""," """""," """""," """""," """""," ""communion"""," """""," """""," """"",
name," ""I suffered great pain  and was brought into a very weak state of health""",""""""," """""," """""," ""injury""",""""""," """""," """""," """""," """""
name," ""Labouress"""," """""," """"",""""""," """""," """""," """""," """""," """"",
name," ""Niece"""," """""," """""," """""," """""," """""," """""," """""," """"",
name," ""comforted my heart"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",
name," ""misiry feeling"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",
name," ""recd into the Congn"""," """""," """""," """""," """""," ""reception"""," """""," """""," """"",
name," ""sircumstances were great trials to me"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",
name," ""unhappy state"""," ""emotion"""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Brns"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
orgName," ""Congn"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," "" Br Jackson"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Br Tranecker"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""God"""," ""deity"""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Mary Oates"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Rachel Oats"""," """""," """""," """""," """""," """""," """""," """""," """"",
persName," ""Sr Seidel"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Bankhouse"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Fulnec"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Great Horton"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Heckmondwyke"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Jamacia"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Parish of Bradford"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Srs house"""," """""," """""," """""," """""," """""," """""," """""," """"",
placeName," ""Srs house"""," """""," """""," """""," """""," """""," """""," """""," """"",
roleName," "" Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Br"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Lamb"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Lord"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Savior"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviour"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviours"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviours"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Saviours"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Sr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
roleName," ""Sr"""," ""honorific"""," """""," """""," """""," """""," """""," """""," """"",
